Tipo,Descripcion,Localizacion,Atributos,Valor
Apartamento,Apartamento en venta en Quinta Paredes,"Quinta Paredes, Teusaquillo, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños100 m²,$ 680.000.000
Apartamento,Apartamento en venta en Hayuelos,"Hayuelos, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños45 m²,$ 217.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones5 baños178 m²,$ 1.050.000.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones3 baños105 m²,$ 375.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones4 baños158 / 125 m²,$ 660.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños73 m²,$ 318.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños98 m²,$ 458.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños69 / 69 m²,$ 425.000.000
Oficina/Consultorio,Oficina/Consultorio en venta en Ciudad Salitre,"Ciudad Salitre, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños200 m²,$ 2.000.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños78 / 78 m²,$ 343.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones4 baños100 m²,$ 730.000.000
Apartamento,Apartamento en venta en Candelaria La Nueva,"Candelaria La Nueva, Ciudad Bolívar, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño54 m²,$ 140.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones4 baños220 m²,$ 1.300.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños89 / 89 m²,$ 385.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños59 m²,$ 369.000.000
Apartamento,Apartamento en venta en Puente Aranda,"Puente Aranda, Zona Centro, Bogotá D.C, Cundinamarca",1 habitación2 baños51 m²,$ 366.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños92 / 84 m²,$ 378.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños54 / 54 m²,$ 355.000.000
Apartamento,Apartamento en venta en La Calleja,"La Calleja, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños121 / 121 m²,$ 700.000.000
Apartamento,Apartamento en venta en La Calleja,"La Calleja, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños150 m²,$ 990.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños102 / 102 m²,$ 600.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños122 m²,$ 516.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños82 / 76 m²,$ 350.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños78 / 78 m²,$ 475.000.000
Apartamento,Apartamento en venta en Chapinero,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños141 / 141 m²,$ 749.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños280 m²,$ 1.195.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños75 / 75 m²,$ 498.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación1 baño35 m²,$ 269.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño43 m²,$ 153.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños82 / 62 m²,$ 335.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños77 / 70 m²,$ 399.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños51 m²,$ 373.000.000
Apartamento,Apartamento en venta en El Contador,"El Contador, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños70 / 70 m²,$ 415.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones4 baños180 / 212 m²,$ 1.550.000.000
Apartamento,Apartamento en venta en El Contador,"El Contador, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños90 / 90 m²,$ 460.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones1 baño52 m²,$ 225.000.000
Apartamento,Apartamento en venta en Rafael Uribe Uribe,"Rafael Uribe Uribe, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones2 baños58 m²,$ 200.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños50 m²,$ 234.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños73 m²,$ 199.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños83 / 83 m²,$ 450.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",5 habitaciones5 baños375 m²,$ 1.400.000.000
Apartamento,Apartamento en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños49 / 49 m²,$ 202.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños54 m²,$ 350.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños85 / 85 m²,$ 519.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños60 / 56 m²,$ 310.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños70 / 66 m²,$ 355.000.000
Apartamento,Apartamento en venta en Colina Campestre,"Colina Campestre, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños108 / 105 m²,$ 545.000.000
Apartamento,Apartamento en venta en Chapinero,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños89 / 89 m²,$ 720.000.000
Apartamento,Apartamento en venta en Chapinero,"Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",3 habitaciones2 baños95 / 95 m²,$ 650.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños87 m²,$ 343.000.000
Apartamento,Apartamento en venta en Usme,"Usme, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño46 m²,$ 127.000.000
Apartamento,Apartamento en venta en Ciudad Salitre,"Ciudad Salitre, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños70 m²,$ 370.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño57 m²,$ 162.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones4 baños300 m²,$ 1.560.000.000
Apartamento,Apartamento en venta en Usme,"Usme, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño48 m²,$ 136.000.000
Casa,Casa en venta en Engativa,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños90 / 80 m²,$ 265.000.000
Apartamento,Apartamento en venta en Usme,"Usme, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones1 baño43 m²,$ 131.000.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños114 m²,$ 416.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño43 m²,$ 161.000.000
Casa,Casa en venta en El Contador,"El Contador, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones3 baños210 / 210 m²,$ 900.000.000
Casa,Casa en venta en Nueva Zelandia,"Nueva Zelandia, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños105 / 95 m²,$ 389.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones1 baño54 / 50 m²,$ 190.000.000
Apartamento,Apartamento en venta en Usme,"Usme, Zona Sur, Bogotá D.C, Cundinamarca",3 habitaciones1 baño50 m²,$ 139.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños70 m²,$ 319.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños52 m²,$ 327.000.000
Apartamento,Apartamento en venta en La Calleja,"La Calleja, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños70 / 70 m²,$ 474.500.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños48 m²,$ 308.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños134 / 121 m²,$ 720.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños66 m²,$ 310.000.000
Apartamento,Apartamento en venta en Madelena,"Madelena, Ciudad Bolívar, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones1 baño40 m²,$ 177.500.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",4 habitaciones3 baños222 m²,$ 1.200.000.000
Apartamento,Apartamento en venta en El Plan,"El Plan, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños77 m²,$ 380.000.000
Apartamento,Apartamento en venta en Suba,"Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños53 m²,$ 210.000.000
Casa,Casa en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",14 habitaciones7 baños360 / 360 m²,$ 1.290.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños77 / 77 m²,$ 320.000.000
Apartamento,Apartamento en venta en San Patricio,"San Patricio, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños60 m²,$ 445.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños91 / 91 m²,$ 340.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños114 / 114 m²,$ 510.000.000
Casa,Casa en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",7 habitaciones3 baños240 m²,$ 465.000.000
Apartamento,Apartamento en venta en Villa Alsacia,"Villa Alsacia, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño42 m²,$ 220.000.000
Apartamento,Apartamento en venta en Hayuelos,"Hayuelos, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños69 m²,$ 337.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños54 m²,$ 260.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños98 m²,$ 445.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños74 m²,$ 290.000.000
Apartamento,Apartamento en venta en Nueva Zelandia,"Nueva Zelandia, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños56 / 56 m²,$ 342.514.000
Apartamento,Apartamento en venta en Santa Paula,"Santa Paula, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños89 m²,$ 625.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños90 m²,$ 490.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños71 m²,$ 350.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños90 m²,$ 444.150.000
Apartamento,Apartamento en venta en Villemar,"Villemar, Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños78 m²,$ 360.000.000
Apartamento,Apartamento en venta en Santa Fe,"Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",1 habitación2 baños54 / 54 m²,$ 370.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños52 m²,$ 150.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños54 m²,$ 232.500.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños64 m²,$ 271.000.000
Apartamento,Apartamento en venta en Santa Fe,"Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",1 habitación2 baños60 m²,$ 450.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños55 m²,$ 163.500.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",4 habitaciones2 baños88 m²,$ 390.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños89 m²,$ 300.000.000
Apartamento,Apartamento en venta en Mazuren,"Mazuren, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños85 m²,$ 406.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños61 m²,$ 465.000.000
Apartamento,Apartamento en venta en El Contador,"El Contador, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños62 m²,$ 390.000.000
Apartamento,Apartamento en venta en Antonio Nariño,"Antonio Nariño, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones1 baño37 / 37 m²,$ 175.000.000
Apartamento,Apartamento en venta en El Batán,"El Batán, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños91 / 91 m²,$ 445.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños60 / 60 m²,$ 422.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones4 baños112 m²,$ 690.000.000
Apartamento,Apartamento en venta en El Batán,"El Batán, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones2 baños91 / 91 m²,$ 445.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños42 m²,$ 357.000.000
Apartamento,Apartamento en venta en Bella Suiza,"Bella Suiza, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños61 m²,$ 465.000.000
Apartamento,Apartamento en venta en Tintala,"Tintala, Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños59 / 59 m²,$ 164.000.000
Casa,Casa en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños89 m²,$ 300.000.000
Apartamento,Apartamento en venta en Mazuren,"Mazuren, Suba, Zona Noroccidental, Bogotá D.C, Cundinamarca",3 habitaciones3 baños85 m²,$ 406.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",4 habitaciones4 baños261 m²,$ 1.700.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones3 baños109 m²,$ 570.000.000
Casa,Casa en venta en La Uribe,"La Uribe, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños110 m²,$ 460.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños157 m²,$ 960.000.000
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños81 / 81 m²,$ 510.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños69 m²,$ 520.000.000
Apartamento,Apartamento en venta en Zona Noroccidental,"Zona Noroccidental, Bogotá D.C, Cundinamarca",2 habitaciones1 baño36 / 36 m²,$ 142.000.000
Apartamento,Apartamento en venta en Santa Fe,"Santa Fe, Zona Centro, Bogotá D.C, Cundinamarca",3 habitaciones2 baños172 m²,$ 750.000.000
Apartamento,Apartamento en venta en Rafael Uribe Uribe,"Rafael Uribe Uribe, Zona Sur, Bogotá D.C, Cundinamarca",2 habitaciones1 baño50 / 43 m²,$ 160.000.000
Casa,Casa en venta en La Uribe,"La Uribe, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños110 m²,$ 445.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños74 m²,$ 570.000.000
Apartamento,Apartamento de 70 m2,"Engativa, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños70 / 70 m²,$ 319.981.523
Apartamento,Apartamento en venta en Santa Barbara,"Santa Barbara, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños114 m²,$ 510.000.000
Apartamento,Apartamento en venta en El Contador,"El Contador, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",1 habitación2 baños58 m²,$ 380.000.000
Apartamento,Apartamento en venta en Bosa,"Bosa, Zona Suroccidental, Bogotá D.C, Cundinamarca",3 habitaciones1 baño47 / 47 m²,$ 134.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",1 habitación1 baño29 / 29 m²,$ 120.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones2 baños93 m²,$ 460.000.000
Casa,Casa en venta en La Uribe,"La Uribe, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",3 habitaciones3 baños131 m²,$ 560.000.000
Apartamento,Apartamento en venta en Cedritos,"Cedritos, Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños59 m²,$ 351.000.000
Apartamento,Apartamento en venta en Kennedy,"Kennedy, Zona Suroccidental, Bogotá D.C, Cundinamarca",2 habitaciones3 baños198 m²,$ 1.390.000.000
Apartamento,Apartamento en venta en Usaquén,"Usaquén, Zona Norte, Bogotá D.C, Cundinamarca",2 habitaciones2 baños60 m²,$ 422.000.000
Apartamento,Apartamento en venta en Fontibón,"Fontibón, Zona Occidental, Bogotá D.C, Cundinamarca",3 habitaciones2 baños78 m²,$ 260.000.000
Apartamento,Apartamento en venta en Chico Norte,"Chico Norte, Chapinero, Zona Chapinero, Bogotá D.C, Cundinamarca",2 habitaciones2 baños95 m²,$ 980.000.000
